Lactobacillus_kullabergensis	JXBY01
Shewanella_denitrificans	NC_007954.1
Massiliomicrobiota_timonensis	NFLJ01
Bacillus_vireti	LDNB01
Pseudoalteromonas_luteoviolacea	NZ_CP015412.1
Lactobacillus_farciminis	AEOT01
Marininema_halotolerans	FPAA01
Brachymonas_chironomi	ARGE01
Paenibacillus_ginsengihumi	ARKW01
endosymbiont_TC1_of_Trimyema_compressum	NZ_CP014606.1
Orientia_tsutsugamushi	NC_009488.1
Deinococcus_peraridilitoris	NC_019793.1
Necropsobacter_massiliensis	CDON01
Methylacidiphilum_fumariolicum	NZ_LM997411.1
Sulfitobacter_geojensis	JASE01
Skermania_piniformis	BCRV01
Nitrosomonas_halophila	FNOY01
Roseburia_inulinivorans	ACFY01
Macrococcus_canis	NZ_CP021059.1
Enterobacter_hormaechei	NZ_CP017179.1
Terrisporobacter_glycolicus	AUUB01
Lactobacillus_mindensis	AZEZ01
Natronincola_ferrireducens	FNFP01
Geobacter_uraniireducens	NC_009483.1
Lysinimicrobium_rhizosphaerae	BBMC01
Geoglobus_ahangari	NZ_CP011267.1
Aquimarina_pacifica	JACC01
Amycolatopsis_nigrescens	ARVW01
Nitratiruptor_tergarcus	FWWZ01
Mastigocoleus_testarum	LMTZ01
Rickettsia_typhi	NC_006142.1
Skermanella_aerolata	AVFK01
Dactylosporangium_aurantiacum	JNYJ01
Thauera_humireducens	NZ_CP014646.1
Halopiger_xanaduensis	NC_015666.1
Bacillus_psychrosaccharolyticus	AJTN02
Jeotgalibaca_dankookensis	NZ_CP019728.1
Planctomicrobium_piriforme	FOQD01
Pseudoxanthomonas_mexicana	LSIF01
Pseudopelagicola_gijangensis	FQZQ01
Pyrococcus_abyssi	NC_000868.1
Microbacterium_paludicola	NZ_CP018134.1
Halomonas_smyrnensis	AJKS02
Yersinia_pestis	NZ_CP033699.1
Bacteroides_caccae	NZ_CP022412.2
Streptomyces_gilvigriseus	MLCF01
Paracoccus_saliphilus	FTOU01
Auraticoccus_monumenti	NZ_LT629688.1
Verrucosispora_maris	NC_015434.1
Oligella_urethralis	AQVB01
Bacillus_massiliogorillae	CAVL02
Spiroplasma_helicoides	NZ_CP017015.1
Streptococcus_troglodytae	NZ_AP014612.1
Acidipropionibacterium_acidipropionici	NZ_CP013126.1
Sphingobium_xenophagum	BARE01
Sagittula_stellata	AAYA01
Sanguibacter_keddieii	NC_013521.1
Jannaschia_helgolandensis	FNZQ01
Vibrio_alginolyticus	LFWL01
Mycoplasma_wenyonii	NC_018149.1
Aeromonas_simiae	CDBY01
Tenuibacillus_multivorans	FNIG01
Rhodobacter_aestuarii	FTOG01
Ezakiella_massiliensis	NZ_LT635475.1
Stomatobaculum_longum	AGEL01
Haloarcula_hispanica	NC_015948.1
Leucobacter_chromiiresistens	AGCW01
Ornithinibacillus_halophilus	FQVW01
Caldithrix_abyssi	NZ_CP018099.1
Tropicimonas_sediminicola	FZOY01
Epibacterium_multivorans	CYSD01
Haloferax_volcanii	NC_013967.1
Marinifilum_fragile	BAZX01
Glaciecola_pallidula	AUAV01
Halomicrobium_mukohataei	NC_013202.1
Salisediminibacterium_haloalkalitolerans	FOGV01
Sandaracinus_amylolyticus	NZ_CP011125.1
Haemophilus_felis	MUYB01
Clostridium_autoethanogenum	NC_022592.1
Kocuria_polaris	JSUH01
Pontibacillus_marinus	AULJ01
Echinicola_vietnamensis	NC_019904.1
Methanohalophilus_mahii	NC_014002.1
Yersinia_similis	NZ_CP007230.1
Spiroplasma_eriocheiris	NZ_CP011856.1
Eubacterium_saphenum	ACON01
Peptostreptococcus_stomatis	ADGQ01
Butyrivibrio_hungatei	NZ_CP017831.1
Xenorhabdus_cabanillasii	CBXE01
Mesoplasma_chauliocola	JAEI01
Flavobacterium_soli	AUGO01
Conchiformibius_kuhniae	AUAP01
Helicobacter_bilis	NZ_CP019645.1
Nocardiopsis_alba	NC_018524.1
Vibrio_tritonius	NZ_AP014636.1
Anaplasma_centrale	NC_013532.1
Polynucleobacter_necessarius	NC_010531.1
Treponema_caldarium	NC_015732.1
Indibacter_alkaliphilus	ALWO02
Peptoniphilus_timonensis	CAHE01
Capnocytophaga_ochracea	NC_013162.1
Zobellia_galactanivorans	NC_015844.1
Paracoccus_aminophilus	NC_022041.1
Pedobacter_steynii	NZ_CP017141.1
Marinobacter_salarius	NZ_CP007152.1
Methanosaeta_harundinacea	NC_017527.1
Francisella_halioticida	NZ_CP022132.1
Negativicoccus_massiliensis	NZ_LT700188.1
Piscirickettsia_litoralis	MDTU01
Vibrio_litoralis	AUFZ01
Pseudarthrobacter_sulfonivorans	NZ_CP013747.1
Corynebacterium_lubricantis	ARAV01
Plesiomonas_shigelloides	NZ_LT575468.1
Nitratifractor_salsuginis	NC_014935.1
Pseudodesulfovibrio_piezophilus	NC_020409.1
Bifidobacterium_saguini	JGZN01
Haloferax_mediterranei	NC_017941.2
Polaromonas_jejuensis	BCYO01
Simkania_negevensis	NC_015713.1
Streptomyces_auratus	AJGV01
Mycoplasma_hyorhinis	NC_019552.1
Allokutzneria_albata	NZ_LT629701.1
Actinoplanes_awajinensis	LLZH01
Yersinia_canariae	NZ_CP043727.1
Chryseobacterium_soli	JPRH01
Domibacillus_aminovorans	LQWZ01
Vagococcus_fluvialis	FWFD01
Mycobacterium_lentiflavum	CTEE01
Moraxella_oblonga	BCYQ01
