Anaerotruncus rubiinfantis
Anaerovibrio lipolyticus
Anaerovirgula multivorans
Anaerovorax odorimutans
Anaplasma centrale
Anaplasma marginale
Anaplasma phagocytophilum
Ancylobacter rudongensis
Anditalea andensis
Andreesenia angusta
Andreprevotia chitinilytica
Andreprevotia lacus
Aneurinibacillus migulanus
Aneurinibacillus terranovensis
Aneurinibacillus thermoaerophilus
Aneurinibacillus tyrosinisolvens
Angelakisella massiliensis
Anoxybacillus amylolyticus
Anoxybacillus gonensis
Anoxybacillus tepidamans
Antarctobacter heliothermus
Aphanizomenon flos-aquae
Apibacter mensalis
Aquabacterium parvum
Aquamicrobium aerolatum
Aquamicrobium defluvii
Aquaspirillum serpens
Aquiflexum balticum
Aquimarina agarilytica
Aquimarina amphilecti
Aquimarina latercula
Aquimarina longa
Aquimarina macrocephali
Aquimarina muelleri
Aquimarina pacifica
Aquimarina spongiae
Aquimixticola soesokkakensis
Aquimonas voraii
Aquincola tertiaricarbonis
Aquisalimonas asiatica
Aquitalea pelogenes
Arabia massiliensis
Arachidicoccus rhizosphaerae
Arcanobacterium haemolyticum
Arcanobacterium phocae
Arcanobacterium urinimassiliense
Archaeoglobus fulgidus
Archaeoglobus profundus
Archaeoglobus sulfaticallidus
Archaeoglobus veneficus
Archangium gephyra
Arcobacter anaerophilus
Arcobacter butzleri
Arcobacter cibarius
Arcobacter cryaerophilus
Arcobacter lanthieri
Arcobacter lekithochrous
Arcobacter marinus
Arcobacter nitrofigilis
Arcobacter skirrowii
Arcobacter thereius
Arcticibacter svalbardensis
Ardenticatena maritima
Arenibacter algicola
Arenibacter certesii
Arenibacter latericius
Arenibacter nanhaiticus
Arenimonas composti
Arenimonas donghaensis
Arenimonas malthae
Arenimonas metalli
Arenimonas oryziterrae
Arenitalea lutea
Arhodomonas aquaeolei
Aromatoleum aromaticum
Arsenicibacter rosenii
Arsenicicoccus bolidensis
Arsenophonus endosymbiont of Nilaparvata lugens
Arthrobacter agilis
Arthrobacter alpinus
Arthrobacter castelli
Arthrobacter crystallopoietes
Arthrobacter cupressi
Arthrobacter enclensis
Arthrobacter globiformis
Arthrobacter luteolus
Arthrobacter nitrophenolicus
Arthrobacter rhombi
Arthrobacter subterraneus
Arthrobacter woluwensis
Arthrospira platensis
Asaccharospora irregularis
Asaia astilbis
Asaia bogorensis
Asanoa ishikariensis
Aster yellows witches'-broom phytoplasma
Asticcacaulis benevestitus
Asticcacaulis biprosthecium
Asticcacaulis excentricus
Asticcacaulis taihuensis
Atlantibacter hermannii
Atopobacter phocae
Atopobium deltae
Atopobium fossor
Atopobium minutum
Atopobium parvulum
Atopobium rimae
Atopobium vaginae
Atopococcus tabaci
Atopostipes suicloacalis
Aurantimonas manganoxydans
Auraticoccus monumenti
Aureimonas altamirensis
Aureimonas frigidaquae
Aureimonas jatrophae
Aureimonas phyllosphaerae
Aureimonas ureilytica
Auricoccus indicus
Austwickia chelonae
Avibacterium paragallinarum
Azoarcus olearius
Azoarcus toluclasticus
Azohydromonas australica
Azohydromonas lata
Azonexus hydrophilus
Azorhizobium caulinodans
Azorhizobium doebereinerae
Azospira oryzae
Azospirillum brasilense
Azospirillum halopraeferens
Azospirillum humicireducens
Azospirillum lipoferum
Azospirillum thiophilum
Azotobacter chroococcum
Azotobacter vinelandii
Azovibrio restrictus
